n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,sample_rate,b_std,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,25.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005839706628523791
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.0005,0.0063,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.003885900464701786
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0059008811414968405
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00055,0.007,PCARFC,78.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0027821686545849893
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00045,0.007,PCARFC,62.5,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0033719995330308366
3000,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,31.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005720367962332339
3000,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,27.5,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.004867623249280352
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.0005,0.00567,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0037926021077976323
3000,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,22.5,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.00555549949042943
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,34.375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.006013019864619319
3000,500,0.02,0.324,6.000000000000001e-05,60.0,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0057451848643676855
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.007,PCARFC,62.5,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.003614590042167066
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.0005,0.005103,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.003858230775399656
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,28.125,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.006809593279474157
3000,500,0.02,0.324,6.000000000000001e-05,36.0,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005636945656830429
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,375,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00055,0.007,PCARFC,93.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002580823253135001
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00045,0.007,PCARFC,78.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0024716047998233105
3000,500,0.02,0.324,6.000000000000001e-05,27.0,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005007467956918044
3000,500,0.02,0.324,6.000000000000001e-05,20.25,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.006715495892049114
3000,500,0.02,0.4,6.000000000000001e-05,60.0,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,30.9375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.008544359410629783
3000,500,0.02,0.4,6.000000000000001e-05,36.0,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,30.9375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0059110746690032665
3000,500,0.02,0.324,6.000000000000001e-05,20.25,35.0,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005446033371349292
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.0005,0.005103,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.00445572042651686
3000,500,0.02,0.324,6.000000000000001e-05,20.25,21.0,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0058014082442098824
3000,500,0.02,0.4,6.000000000000001e-05,27.0,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,30.9375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.009281934235439441
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.007,PCARFC,78.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0024703779526847056
3000,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.0005,0.005103,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.00551466083374021
3000,500,0.02,0.324,6.000000000000001e-05,20.25,28,37.5,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0051638445956240795
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0077,PCARFC,62.5,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002521334951164348
3000,500,0.02,0.4,6.000000000000001e-05,27.0,35.0,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,30.9375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.006487971478113365
3000,500,0.02,0.324,6.000000000000001e-05,20.25,28,22.5,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005377826433555641
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,375,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00045,0.007,PCARFC,93.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0025507237162450632
3000,500,0.02,0.324,6.000000000000001e-05,20.25,28,28.125,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.006145758197563595
3000,500,0.02,0.39599999999999996,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.0005,0.005103,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.004627904626185587
3000,500,0.02,0.4,6.000000000000001e-05,27.0,21.0,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,30.9375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.00603386020808822
3000,500,0.02,0.4,6.000000000000001e-05,27.0,15.75,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,30.9375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0071774101790461784
3000,500,0.02,0.324,6.000000000000001e-05,20.25,28,28.125,19.8,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.008744795678926656
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0063,PCARFC,62.5,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002878007092593158
3000,500,0.02,0.4356,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.0005,0.005103,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.003603568652408424
3000,500,0.02,0.324,6.000000000000001e-05,20.25,28,28.125,16.2,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0067917009037476925
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,312,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.007,PCARFC,78.0,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002896964750906269
3000,500,0.02,0.4,6.000000000000001e-05,27.0,15.75,37.5,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,30.9375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005478852449636619
3000,500,0.02,0.47916,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.0005,0.005103,PCARFC,46.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.003996434099343587
3000,500,0.025,0.324,6.000000000000001e-05,20.25,28,28.125,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005199047039822356
3000,500,0.02,0.4,6.000000000000001e-05,27.0,15.75,22.5,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,30.9375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005993197381488618
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,250,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.00693,PCARFC,62.5,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0033698334684479935
3000,500,0.015,0.324,6.000000000000001e-05,20.25,28,28.125,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.00567273394404324
3000,500,0.02,0.4,6.000000000000001e-05,27.0,15.75,16.875,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,30.9375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.004993768021353975
3000,500,0.01125,0.324,6.000000000000001e-05,20.25,28,28.125,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0052477495849040535
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,375,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.007,PCARFC,93.75,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002629866926748238
3000,500,0.0084375,0.324,6.000000000000001e-05,20.25,28,28.125,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.000405,0.0083853,PCARFC,20.25,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.005377550474934581
3000,500,0.02,0.4,6.000000000000001e-05,27.0,15.75,12.65625,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,1e-05,0.00036449999999999997,0.00567,PCARFC,30.9375,False,1.5,1.2,15,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.004708578732895386
