N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.9,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0026362629615522973
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.7000000000000001,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.0019118669111773943
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.6000000000000001,0.0001089,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002148895780952101
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.6000000000000001,0.00011979,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002250324634287406
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.6000000000000001,9.801e-05,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002590588383043927
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.6000000000000001,8.820900000000001e-05,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002093534637461583
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.0005,../res/2025-01-23 14:35:30__500.csv,2,5,0.002650970539396208
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.00055,../res/2025-01-23 14:35:30__500.csv,2,5,0.002616309464961526
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.00045,../res/2025-01-23 14:35:30__500.csv,2,5,0.002285298140549982
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.0001089,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0025825818801765315
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,0.00011979,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0031050722416999677
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,9.801e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0020746521355716483
500,1,matrix_conceptor,59.895,20,35,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.00226403374900813
500,1,matrix_conceptor,65.8845,20,35,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0036749751265432147
500,1,matrix_conceptor,53.9055,20,35,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.003001516144382233
500,1,matrix_conceptor,48.51495,20,35,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.002572879570172029
500,1,matrix_conceptor,43.663455,20,35,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0025194760363420714
500,1,matrix_conceptor,39.2971095,20,35,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0026345318233552554
500,1,matrix_conceptor,39.2971095,22.0,35,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.002499191397649026
500,1,matrix_conceptor,39.2971095,18.0,35,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.001994532878032698
500,1,matrix_conceptor,39.2971095,16.2,35,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0020110554853173
500,1,matrix_conceptor,39.2971095,16.2,38.5,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0025596165308478473
500,1,matrix_conceptor,39.2971095,16.2,31.5,16.2,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.002032882845587061
500,1,matrix_conceptor,39.2971095,16.2,35,17.82,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0020341022878174026
500,1,matrix_conceptor,39.2971095,16.2,35,14.579999999999998,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0019112356787530545
500,1,matrix_conceptor,39.2971095,16.2,35,13.121999999999998,3000,500,8.820900000000001e-05,0.011979,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0019934386748090504
500,1,matrix_conceptor,39.2971095,16.2,35,13.121999999999998,3000,500,8.820900000000001e-05,0.0131769,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.002031459761944287
500,1,matrix_conceptor,39.2971095,16.2,35,13.121999999999998,3000,500,8.820900000000001e-05,0.0107811,1.2,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.002047485782593197
500,1,matrix_conceptor,39.2971095,16.2,35,13.121999999999998,3000,500,8.820900000000001e-05,0.011979,1.25,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0024649990300725354
500,1,matrix_conceptor,39.2971095,16.2,35,13.121999999999998,3000,500,8.820900000000001e-05,0.011979,1.15,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0019517428650063372
500,1,matrix_conceptor,39.2971095,16.2,35,13.121999999999998,3000,500,8.820900000000001e-05,0.011979,1.0999999999999999,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0020569734560418754
500,1,matrix_conceptor,39.2971095,16.2,35,13.121999999999998,3000,500,8.820900000000001e-05,0.011979,1.0999999999999999,0.7000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0019401500868732706
500,1,matrix_conceptor,39.2971095,16.2,35,13.121999999999998,3000,500,8.820900000000001e-05,0.011979,1.0999999999999999,0.5000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0025140425817920193
500,1,matrix_conceptor,39.2971095,16.2,35,13.121999999999998,3000,500,8.820900000000001e-05,0.011979,1.0999999999999999,0.6000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.001993371484412085
500,1,matrix_conceptor,39.2971095,16.2,35,13.121999999999998,3000,500,8.820900000000001e-05,0.011979,1.0999999999999999,0.7000000000000001,7.938810000000001e-05,0.000405,../res/2025-01-23 14:35:30__500.csv,2,5,0.0020043433119491957
