n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.00551182193952663
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.005379095425405464
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.008356524039010736
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.005120453794782335
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0077,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.0030851596470216434
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.0027062185082995342
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0063,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.00757911657642943
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.00693,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.0074936563131055706
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0077,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.006024161138284624
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.0021407438685277186
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0076230000000000004,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.0046125730594098364
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0063,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.0049466449665829465
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.005307986724610483
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.005110240278822037
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.004515319202379233
3000,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,100,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0083853,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.008992673420539365
3000,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,1.1,250,125,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.007,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.002512337957344933
3000,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,1.1,250,187,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005,0.0077,PCARFC,250,False,1.5,1.2,../res/2025-01-06 12:34:29.csv,2,3,0.0027842351418582018
