N,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.0062369999999999995,../res/2025-01-14 17:15:34__250.csv,2,5,0.002298614250495966
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.005103,../res/2025-01-14 17:15:34__250.csv,2,5,0.0033299543963831663
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.0056133,../res/2025-01-14 17:15:34__250.csv,2,5,0.0028008698017827974
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.0061746299999999995,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022327578050169022
250,matrix_conceptor,47.52,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022776701131552103
250,matrix_conceptor,47.52,28,30,18,3000,500,0.0001089,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002606136247312782
250,matrix_conceptor,47.52,28,30,18,3000,500,8.910000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0022839632792786427
250,matrix_conceptor,52.272000000000006,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0025229450227328577
250,matrix_conceptor,42.768,28,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.00298585987111042
250,matrix_conceptor,47.52,30.8,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.0036602964918108134
250,matrix_conceptor,47.52,25.2,30,18,3000,500,9.900000000000001e-05,0.01,1.0999999999999999,0.6,0.00029524499999999997,0.006792092999999999,../res/2025-01-14 17:15:34__250.csv,2,5,0.002976653759480923
