n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.02,0.4,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0021888669893983252
3000,500,0.02,0.4,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.002108069139833096
3000,500,0.02,0.4,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0021645759196144507
3000,500,0.02,0.4,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0077,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0020281731049745224
3000,500,0.02,0.4,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0063,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0021428275600116537
3000,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0020841089677927104
3000,500,0.02,0.36,6.000000000000001e-05,48,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0020730132815235005
3000,500,0.02,0.4,6.000000000000001e-05,52.8,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.002161438995481687
3000,500,0.02,0.4,6.000000000000001e-05,43.2,28,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0021402376266993657
3000,500,0.02,0.4,6.000000000000001e-05,48,30.8,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0021412873340852074
3000,500,0.02,0.4,6.000000000000001e-05,48,25.2,130,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0022049905394305714
3000,500,0.02,0.4,6.000000000000001e-05,48,28,143.0,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.002065137769274472
3000,500,0.02,0.4,6.000000000000001e-05,48,28,117.0,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0020366180056042983
3000,500,0.02,0.4,6.000000000000001e-05,48,28,105.3,18,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.002076634407821809
3000,500,0.02,0.4,6.000000000000001e-05,48,28,105.3,19.8,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.0020069815636286925
3000,500,0.02,0.4,6.000000000000001e-05,48,28,105.3,16.2,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.002192538605073647
3000,500,0.02,0.4,6.000000000000001e-05,48,28,105.3,17.82,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.002182450200934291
3000,500,0.02,0.4,6.000000000000001e-05,48,28,105.3,19.602,1.1,200,500,3000,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,base,750,False,1.5,1.2,../res/2024-12-18 11:06:50.csv,2,3,0.002241488087513573
