N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,50,20,35,20,1914,500,0.0001,0.01,1.2,0.8,0.00011,0.0005,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016081734256761418
500,1,matrix_conceptor,50,20,35,20,1914,500,0.0001,0.01,1.2,0.8,9e-05,0.0005,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015658407023945962
500,1,matrix_conceptor,50,20,35,20,1914,500,0.0001,0.01,1.2,0.8,0.0001,0.00055,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015999343114880705
500,1,matrix_conceptor,50,20,35,20,1914,500,0.0001,0.01,1.2,0.8,0.0001,0.00045,../res/2025-01-23 14:27:58__500.csv,2,5,0.001698225798903907
500,1,matrix_conceptor,50,20,35,20,1914,500,0.0001,0.01,1.2,0.8,0.0001,0.000405,../res/2025-01-23 14:27:58__500.csv,2,5,0.001642270751120383
500,1,matrix_conceptor,50,20,35,20,1914,500,0.0001,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001668468292527029
500,1,matrix_conceptor,50,20,35,20,1914,500,0.00011,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015684542404675156
500,1,matrix_conceptor,50,20,35,20,1914,500,9e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015903264699986847
500,1,matrix_conceptor,50,20,35,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016807618961665778
500,1,matrix_conceptor,55.0,20,35,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015873875172908898
500,1,matrix_conceptor,45.0,20,35,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016024911529368027
500,1,matrix_conceptor,40.5,20,35,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015960525896193864
500,1,matrix_conceptor,36.45,20,35,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016049159319152183
500,1,matrix_conceptor,36.45,22.0,35,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001683167470971603
500,1,matrix_conceptor,36.45,18.0,35,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015340895363788202
500,1,matrix_conceptor,36.45,16.2,35,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015044330020649245
500,1,matrix_conceptor,36.45,14.579999999999998,35,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016354699509367754
500,1,matrix_conceptor,36.45,14.579999999999998,38.5,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016280092679016548
500,1,matrix_conceptor,36.45,14.579999999999998,31.5,20,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016058545754444465
500,1,matrix_conceptor,36.45,14.579999999999998,35,22.0,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016278819779107067
500,1,matrix_conceptor,36.45,14.579999999999998,35,18.0,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015240573077262107
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015553049576119222
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.011,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015229421411908962
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.009000000000000001,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016081168487827682
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.0099,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015828920149551576
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.2,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015943820188129812
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.25,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015655842408184317
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.15,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001584766083619332
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.8,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015940003608360949
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.9,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015663958318828913
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.7000000000000001,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015560898093493994
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.6000000000000001,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001540772477765496
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,0.0001,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015425138669182773
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,0.00011,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016361132537102377
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,9e-05,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015715743759506697
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00036449999999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016299938347642735
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00040094999999999996,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015883940720708323
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00032805,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015632500491010737
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016138982142553013
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,8.91e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015945168772724945
500,1,matrix_conceptor,36.45,14.579999999999998,35,16.2,1914,500,7.290000000000001e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016228163590762158
500,1,matrix_conceptor,40.095000000000006,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015535882765201417
500,1,matrix_conceptor,32.805,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015843926070855479
500,1,matrix_conceptor,29.5245,14.579999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015997516596792907
500,1,matrix_conceptor,29.5245,16.037999999999997,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016022875532307392
500,1,matrix_conceptor,29.5245,13.121999999999998,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015564366222261899
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016186195765804513
500,1,matrix_conceptor,29.5245,11.8098,38.5,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001582604112632166
500,1,matrix_conceptor,29.5245,11.8098,31.5,16.2,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001590318914724958
500,1,matrix_conceptor,29.5245,11.8098,35,17.82,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016236462268629172
500,1,matrix_conceptor,29.5245,11.8098,35,14.579999999999998,1914,500,8.1e-05,0.01089,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015772033082401015
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.011979,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001553103287815041
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.009801,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.00171364912411309
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.0107811,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016028802894576463
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01185921,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015816733238472862
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.013045131,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015679550752397745
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.0143496441,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015613861543750894
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015846559366373895
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.15,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001556621920647982
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.0499999999999998,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001601275036132743
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.0999999999999999,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001520546978712579
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.15,0.5000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001576302409756877
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.15,0.6000000000000001,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001521276026563803
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.15,0.40000000000000013,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001556152002930371
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.15,0.30000000000000016,8.1e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.001654638711254782
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.15,0.30000000000000016,8.91e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0015694550351162157
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.15,0.30000000000000016,7.290000000000001e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0017368668364120949
500,1,matrix_conceptor,29.5245,11.8098,35,16.2,1914,500,8.1e-05,0.01578460851,1.15,0.30000000000000016,8.019000000000002e-05,0.00029524499999999997,../res/2025-01-23 14:27:58__500.csv,2,5,0.0016819924041711152
