N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,10,matrix_conceptor,500,300,200,200,3000,500,0.001,0.1,1.1,1,0.0011,0.001,../res/2025-01-16 11:21:17__250.csv,10,5,0.006960317879682859
250,10,matrix_conceptor,500,300,200,200,3000,500,0.001,0.1,1.1,1,0.0009,0.001,../res/2025-01-16 11:21:17__250.csv,10,5,0.00551647374532548
250,10,matrix_conceptor,500,300,200,200,3000,500,0.001,0.1,1.1,1,0.001,0.0011,../res/2025-01-16 11:21:17__250.csv,10,5,0.006973287936755368
250,10,matrix_conceptor,500,300,200,200,3000,500,0.001,0.1,1.1,1,0.001,0.0009,../res/2025-01-16 11:21:17__250.csv,10,5,0.005042043496683835
250,10,matrix_conceptor,500,300,200,200,3000,500,0.001,0.1,1.1,1,0.001,0.00081,../res/2025-01-16 11:21:17__250.csv,10,5,0.005090799181276517
250,10,matrix_conceptor,500,300,200,200,3000,500,0.0011,0.1,1.1,1,0.001,0.00081,../res/2025-01-16 11:21:17__250.csv,10,5,0.0060998005904290475
250,10,matrix_conceptor,500,300,200,200,3000,500,0.0009,0.1,1.1,1,0.001,0.00081,../res/2025-01-16 11:21:17__250.csv,10,5,0.004495249669959548
250,10,matrix_conceptor,500,300,200,200,3000,500,0.00081,0.1,1.1,1,0.001,0.00081,../res/2025-01-16 11:21:17__250.csv,10,5,0.005910097265644825
250,10,matrix_conceptor,550.0,300,200,200,3000,500,0.00081,0.1,1.1,1,0.001,0.00081,../res/2025-01-16 11:21:17__250.csv,10,5,0.004598826625036681
250,10,matrix_conceptor,450.0,300,200,200,3000,500,0.00081,0.1,1.1,1,0.001,0.00081,../res/2025-01-16 11:21:17__250.csv,10,5,0.006275017812098435
250,10,matrix_conceptor,495.0,300,200,200,3000,500,0.00081,0.1,1.1,1,0.001,0.00081,../res/2025-01-16 11:21:17__250.csv,10,5,0.004141597605743721
250,10,matrix_conceptor,544.5,300,200,200,3000,500,0.00081,0.1,1.1,1,0.001,0.00081,../res/2025-01-16 11:21:17__250.csv,10,5,0.007316553270723688
250,10,matrix_conceptor,544.5,330.0,200,200,3000,500,0.00081,0.1,1.1,1,0.001,0.00081,../res/2025-01-16 11:21:17__250.csv,10,5,0.005623720872525445
