N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.00055,0.007,../res/2025-01-15 12:05:45__250.csv,4,5,0.002072166986264804
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.00045,0.007,../res/2025-01-15 12:05:45__250.csv,4,5,0.002037368015067113
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.007,../res/2025-01-15 12:05:45__250.csv,4,5,0.002131983700946991
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.0077,../res/2025-01-15 12:05:45__250.csv,4,5,0.0021878620720547845
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.0063,../res/2025-01-15 12:05:45__250.csv,4,5,0.0022378241781243194
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.00567,../res/2025-01-15 12:05:45__250.csv,4,5,0.0021099952786398173
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.005103,../res/2025-01-15 12:05:45__250.csv,4,5,0.0018221614907351913
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.00225732616854646
250,10,matrix_conceptor,400,10,200,100,3000,500,0.00011,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.002016380678486155
250,10,matrix_conceptor,400,10,200,100,3000,500,9e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.00233708538263374
250,10,matrix_conceptor,400,10,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0029252800130030662
250,10,matrix_conceptor,600.0,10,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0024864251067470812
250,10,matrix_conceptor,200.0,10,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.00200379782961757
250,10,matrix_conceptor,100.0,10,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.001900008880315578
250,10,matrix_conceptor,50.0,10,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0018101677766427654
250,10,matrix_conceptor,25.0,10,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0019782979794478106
250,10,matrix_conceptor,25.0,15.0,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.001981418312461296
250,10,matrix_conceptor,25.0,5.0,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0018881019700874794
250,10,matrix_conceptor,25.0,2.5,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.001870869130828625
250,10,matrix_conceptor,25.0,1.25,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0018591464960841207
250,10,matrix_conceptor,25.0,0.625,300.0,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0019594230962513004
250,10,matrix_conceptor,25.0,0.625,100.0,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0019188955271603428
250,10,matrix_conceptor,25.0,0.625,50.0,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0019519752458586424
250,10,matrix_conceptor,25.0,0.625,50.0,150.0,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.001969188343230825
250,10,matrix_conceptor,25.0,0.625,50.0,50.0,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0019049069378046502
250,10,matrix_conceptor,25.0,0.625,50.0,25.0,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.001913527663768337
250,10,matrix_conceptor,25.0,0.625,50.0,25.0,3000,500,9.900000000000001e-05,0.015,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.0018551309706109184
250,10,matrix_conceptor,25.0,0.625,50.0,25.0,3000,500,9.900000000000001e-05,0.005,1.2,0.6,0.000405,0.0045927,../res/2025-01-15 12:05:45__250.csv,4,5,0.001977870164078413
