n_harvest,washout,learning_rate_c,beta_W_out,beta_G,beta_D,aperture,spectral_radius,N,M,n_adapt,W_sr,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,nrmse
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.75,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00310237]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,1.125,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00292853]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.5625,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00307184]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.84375,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.0030298]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.421875,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00310474]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.6328125,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.0030226]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.31640625,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00306323]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.474609375,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.003094]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.2373046875,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.003094]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.35595703125,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00291514]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.177978515625,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00291514]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.2669677734375,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00291514]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.13348388671875,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00291514]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.200225830078125,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00291514]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.1001129150390625,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00291514]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.15016937255859375,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00271666]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.07508468627929688,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00271666]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.11262702941894531,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00271666]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.056313514709472656,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00271666]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.1,reservoir_dim,white_noise,2,W_F,0,,[0.00271666]
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.01,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.015,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0075,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.01125,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.005625,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0084375,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.00421875,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.006328125,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0031640625,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.00474609375,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.002373046875,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0035595703125000005,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0017797851562500002,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0026696777343750006,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0013348388671875003,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0020022583007812504,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0010011291503906252,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0015016937255859378,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0007508468627929689,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.4,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.7,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,1.0499999999999998,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.5249999999999999,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.7874999999999999,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.39374999999999993,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.590625,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.2953125,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.44296874999999997,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.22148437499999998,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.3322265625,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.16611328125,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.24916992187499998,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.12458496093749999,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.18687744140624998,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.09343872070312499,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.1401580810546875,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.07007904052734375,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.10511856079101561,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.05255928039550781,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.5,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.25,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.375,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.1875,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.28125,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.140625,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.2109375,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.10546875,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.158203125,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.0791015625,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.11865234375,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.059326171875,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.0889892578125,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.04449462890625,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.066741943359375,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.0333709716796875,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.05005645751953125,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.025028228759765625,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.03754234313964844,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.01877117156982422,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,8,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,4.0,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,6.0,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,3.0,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,4.5,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,2.25,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,3.375,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,1.6875,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,2.53125,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,1.265625,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,1.8984375,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,0.94921875,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,1.423828125,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,0.7119140625,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,1.06787109375,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,0.533935546875,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
400,500,0.028156757354736328,0.01,1,0.01,0.8009033203125,0.07883892059326171,100,500,2000,0.08447027206420898,0.0011262702941894534,reservoir_dim,white_noise,2,W_F,0,,0
