N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,10,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.00055,0.007,../res/2025-01-14 18:51:27__250.csv,2,5,0.002174938811051419
250,10,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.00045,0.007,../res/2025-01-14 18:51:27__250.csv,2,5,0.0021462173697719645
250,10,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.007,../res/2025-01-14 18:51:27__250.csv,2,5,0.002266716164574595
250,10,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.0077,../res/2025-01-14 18:51:27__250.csv,2,5,0.0021648431830235777
250,10,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.0063,../res/2025-01-14 18:51:27__250.csv,2,5,0.002190530628946957
250,10,matrix_conceptor,48,28,30,18,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.00567,../res/2025-01-14 18:51:27__250.csv,2,5,0.0032809436883313413
