N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.25,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.003020471752688494
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.15,0.8,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0032056055827688183
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.8500000000000001,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0028481087117269493
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.75,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.0028216839489921533
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.7,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002630694037895228
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.6499999999999999,0.000131769,0.00036449999999999997,0.4,../res/RFC_MAANDAG__250.csv,3,5,0.002843797951049344
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.6499999999999999,0.000131769,0.00036449999999999997,0.45,../res/RFC_MAANDAG__250.csv,3,5,0.0027828942468206283
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.6499999999999999,0.000131769,0.00036449999999999997,0.35000000000000003,../res/RFC_MAANDAG__250.csv,3,5,0.002678638462611134
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.6499999999999999,0.000131769,0.00036449999999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.002929775332726377
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,117.1875,119.79,3000,500,7.290000000000001e-05,0.007290000000000001,1.2,0.6499999999999999,0.0001449459,0.00036449999999999997,0.30000000000000004,../res/RFC_MAANDAG__250.csv,3,5,0.0027027969975517035
