N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.01089,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0029099976644022967
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.2,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.003133283536606201
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.25,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.003033333263667234
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.15,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0025853903833966477
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0999999999999999,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.002515190692675552
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.8,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0027481978190587223
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.8500000000000001,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.0026209294592882903
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.75,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.002766061361476141
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.4,../res/2025-01-28 10:02:52_250.csv,3,5,0.002974448859466189
250,500,matrix_conceptor,50.0,20.0,35.0,20.0,56.25,56.25,100.0,108.9,3000,500,8.1e-05,0.011979,1.0499999999999998,0.7,0.00011,0.0005,0.45,../res/2025-01-28 10:02:52_250.csv,3,5,0.0029512443266463072
