n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,experiment_name,cycles,n_rep,nrmse
3000,500,0.028125000000000004,0.5,7.500000000000001e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018524462397871712
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.00233181558472349
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.2000000000000002,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0020444466516036522
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.0,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0007289999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0021354137886510065
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0008018999999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019043420072802873
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0006561,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0015893890742337676
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0017717355243388896
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.008019000000000002,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0016214128014151049
3000,500,0.028125000000000004,0.5,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.006561000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019892212268053577
3000,500,0.028125000000000004,0.55,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.002178931779130432
3000,500,0.028125000000000004,0.45,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0019543224525440097
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,60,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0023878175526519576
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,66.0,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.001956225149814959
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,54.0,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0017619564946403786
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,24.3,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0018036834296609816
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,26.73,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0016085865074948315
3000,500,0.028125000000000004,0.405,5.6250000000000005e-05,48.6,21.87,121.5,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0005904899999999999,0.007290000000000001,base,750,False,1.5,../res/2024-12-17 15:42:51.csv,2,1,0.0021807497005646077
