n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,sample_rate,experiment_name,cycles,n_rep,nrmse
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00055,0.007,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0029751531182994244
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.00045,0.007,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0027087135725252574
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.007,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0030866836199944215
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0077,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0037263708016091143
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.0063,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.002920649051563171
1900,500,0.02,0.4,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.003668064397331715
1900,500,0.02,0.44000000000000006,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0035271631828379287
1900,500,0.02,0.36,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0029987100234352506
1900,500,0.02,0.324,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.002975217652818783
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0037493487875863408
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,68.75,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0026495998365000553
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,48,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,56.25,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.002876031995805485
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,60.0,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0029085262477462435
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,36.0,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0031240106529939068
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,27.0,28,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.003735667024753421
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,27.0,35.0,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.003265740376924399
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,27.0,21.0,30,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.003246709272367607
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,27.0,28,37.5,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.004121861030712178
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,27.0,28,22.5,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0029966446941767934
1900,500,0.02,0.2916,6.000000000000001e-05,48,28,30,18,27.0,28,16.875,18,1.1,250,250,1900,0.1,reservoir_dim,patterns,2,W_F,,0.000405,0.00567,PCARFC,62.5,False,1.5,1.2,15,../res/2025-01-24 11:34:43__250.csv,3,5,0.0038080466721571136
