N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,10,matrix_conceptor,1300,400,1300,630,3000,500,0.0001,0.01,1.2,0.6,0.00055,0.007,../res/2025-01-15 11:22:01__250.csv,2,5,0.00408919738672576
250,10,matrix_conceptor,1300,400,1300,630,3000,500,0.0001,0.01,1.2,0.6,0.00045,0.007,../res/2025-01-15 11:22:01__250.csv,2,5,0.0035349078829176365
250,10,matrix_conceptor,1300,400,1300,630,3000,500,0.0001,0.01,1.2,0.6,0.000405,0.007,../res/2025-01-15 11:22:01__250.csv,2,5,0.003198915530394965
250,10,matrix_conceptor,1300,400,1300,630,3000,500,0.0001,0.01,1.2,0.6,0.00036449999999999997,0.007,../res/2025-01-15 11:22:01__250.csv,2,5,0.004415970542455761
250,10,matrix_conceptor,1300,400,1300,630,3000,500,0.0001,0.01,1.2,0.6,0.00036449999999999997,0.0077,../res/2025-01-15 11:22:01__250.csv,2,5,0.0038394083624957442
250,10,matrix_conceptor,1300,400,1300,630,3000,500,0.0001,0.01,1.2,0.6,0.00036449999999999997,0.0063,../res/2025-01-15 11:22:01__250.csv,2,5,0.004102163725459368
250,10,matrix_conceptor,1300,400,1300,630,3000,500,0.0001,0.01,1.2,0.6,0.00036449999999999997,0.00567,../res/2025-01-15 11:22:01__250.csv,2,5,0.0035855275722975156
250,10,matrix_conceptor,1300,400,1300,630,3000,500,0.0001,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004898815965658724
250,10,matrix_conceptor,1300,400,1300,630,3000,500,0.00011,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.00358480712882197
250,10,matrix_conceptor,1300,400,1300,630,3000,500,9e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004058964501850315
250,10,matrix_conceptor,1300,400,1300,630,3000,500,8.1e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.003895064136220544
250,10,matrix_conceptor,1300,400,1300,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.00414935598499167
250,10,matrix_conceptor,1430.0,400,1300,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004711379510468053
250,10,matrix_conceptor,1170.0,400,1300,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004703478388211986
250,10,matrix_conceptor,1300,440.0,1300,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.00415532626617822
250,10,matrix_conceptor,1300,360.0,1300,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.00525170015993195
250,10,matrix_conceptor,1300,324.0,1300,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.003077267144310939
250,10,matrix_conceptor,1300,291.6,1300,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004386633350032993
250,10,matrix_conceptor,1300,291.6,1430.0,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.00335629651793365
250,10,matrix_conceptor,1300,291.6,1170.0,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.00477574783126484
250,10,matrix_conceptor,1300,291.6,1287.0,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004285704327724009
250,10,matrix_conceptor,1300,291.6,1415.7,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.0036319187515088114
250,10,matrix_conceptor,1300,291.6,1557.27,630,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004368068113025797
250,10,matrix_conceptor,1300,291.6,1557.27,693.0,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004167641285778784
250,10,matrix_conceptor,1300,291.6,1557.27,567.0,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.005083765366154654
250,10,matrix_conceptor,1300,291.6,1557.27,623.7,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.003872182664662635
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.005170983104578084
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.0125,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.003661644156152734
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.0075,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004653954881113782
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.25,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.002879869585862684
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.15,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.005123072715764261
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.2,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004933364295679224
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.25,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.0034689619051210055
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.6,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.003763649096953786
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.65,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.0036956705552155986
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.5499999999999999,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.0034653489811775767
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.49999999999999994,0.00036449999999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.004956704895446632
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.49999999999999994,0.00040094999999999996,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.0048804344977066445
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.49999999999999994,0.00032805,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.0029764579928200203
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.49999999999999994,0.00029524499999999997,0.005103,../res/2025-01-15 11:22:01__250.csv,2,5,0.0035540776555245505
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.49999999999999994,0.00029524499999999997,0.0056133,../res/2025-01-15 11:22:01__250.csv,2,5,0.0035416159709663053
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.49999999999999994,0.00029524499999999997,0.0045927,../res/2025-01-15 11:22:01__250.csv,2,5,0.004689947476509457
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.49999999999999994,0.00029524499999999997,0.00413343,../res/2025-01-15 11:22:01__250.csv,2,5,0.0044677024607776466
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,7.290000000000001e-05,0.01,1.3,0.49999999999999994,0.00029524499999999997,0.0037200869999999995,../res/2025-01-15 11:22:01__250.csv,2,5,0.005489488312569891
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,8.019000000000002e-05,0.01,1.3,0.49999999999999994,0.00029524499999999997,0.0037200869999999995,../res/2025-01-15 11:22:01__250.csv,2,5,0.007959552734550575
250,10,matrix_conceptor,1300,291.6,1557.27,686.07,3000,500,6.561e-05,0.01,1.3,0.49999999999999994,0.00029524499999999997,0.0037200869999999995,../res/2025-01-15 11:22:01__250.csv,2,5,0.004937567439248607
