n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sr,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,rfc_type,max_n_features,verbose,experiment_name,cycles,n_rep,nrmse
400,500,0.009375,0.81,0.0125,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.008618499529359516
400,500,0.009375,0.81,0.0075,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.012031158276702588
400,500,0.009375,0.81,0.01,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.0001875,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.013324618851133452
400,500,0.009375,0.81,0.01,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,6.25e-05,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.009804300011408421
400,500,0.009375,0.891,0.01,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.003990361319862224
400,500,0.009375,0.7290000000000001,0.01,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.007078762026997607
400,500,0.009375,0.6561000000000001,0.01,1197.9,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.013220536517526433
400,500,0.009375,0.6561000000000001,0.01,1317.69,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.0057366739510591
400,500,0.009375,0.6561000000000001,0.01,1078.1100000000001,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.007869648317300448
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,400,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.008846635490525822
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,440.0,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.004600418381842143
400,500,0.009375,0.6561000000000001,0.01,970.2990000000001,360.0,1053.0,510.3,1.4,100,500,2000,1.4,0.1,reservoir_dim,patterns,2,W_F,,0.000125,PCARFC,500,False,../res/2024-11-27 23:31:23.csv,2,1,0.006261174173922248
