n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,experiment_name,cycles,n_rep,nrmse
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0011,0.01,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0017831840672019707
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.0009,0.01,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0017117830220950796
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.01,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.001905685912077524
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.011,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0016938768709403402
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.009000000000000001,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0022029213430843973
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0099,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.002162047002935771
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.01089,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0020890018356204514
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.011979,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0017673453183133661
3000,500,0.05,0.5,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.002046495437118858
3000,500,0.05,0.55,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.001768126837984981
3000,500,0.05,0.45,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0019370999230249085
3000,500,0.05,0.495,0.0001,60,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.002077628216522614
3000,500,0.05,0.495,0.0001,66.0,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0015484813314333011
3000,500,0.05,0.495,0.0001,54.0,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0018428550328747103
3000,500,0.05,0.495,0.0001,59.4,30,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.001973536598168733
3000,500,0.05,0.495,0.0001,59.4,33.0,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0019200424591072688
3000,500,0.05,0.495,0.0001,59.4,27.0,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.002265055067558076
3000,500,0.05,0.495,0.0001,59.4,24.3,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0017144643393297396
3000,500,0.05,0.495,0.0001,59.4,21.87,150,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0019592108175194847
3000,500,0.05,0.495,0.0001,59.4,21.87,165.0,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0023170141362250252
3000,500,0.05,0.495,0.0001,59.4,21.87,135.0,20,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0021018830192253935
3000,500,0.05,0.495,0.0001,59.4,21.87,150,22.0,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0018113422219254694
3000,500,0.05,0.495,0.0001,59.4,21.87,150,18.0,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.00188036176315821
3000,500,0.05,0.495,0.0001,59.4,21.87,150,16.2,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.002225929484764911
3000,500,0.0625,0.495,0.0001,59.4,21.87,150,16.2,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0015252916687733154
3000,500,0.037500000000000006,0.495,0.0001,59.4,21.87,150,16.2,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.001716239984353496
3000,500,0.028125000000000004,0.495,0.0001,59.4,21.87,150,16.2,1.1,200,1000,3000,0.1,reservoir_dim,patterns,2,W_F,,0.00081,0.0131769,PCARFC,750,False,1.5,../res/2024-12-17 15:42:25.csv,2,1,0.0018927907079208986
