N,M,rfc_type,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.011,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.003045349697265624
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.009000000000000001,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0029357271324619897
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.008100000000000001,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0025194968428786297
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,1.2,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.003232855034749141
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,1.25,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.003154249992355819
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,1.15,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0028965199542159937
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,1.0999999999999999,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0027117448282684867
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,1.0499999999999998,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0024460846690197375
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.8,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0030366374728634845
250,500,matrix_conceptor,50.0,8.4375,35.0,20.0,3000,500,8.1e-05,0.007290000000000001,0.9999999999999998,0.8500000000000001,0.00011,0.000405,0.4,../res/2025-01-28 14:15:38_250.csv,3,5,0.0027986668097870096
