N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.00055,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0019006735028134
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.00045,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0027426304283515363
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.002745449053448936
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.000495,0.0077,../res/2025-01-15 11:53:35__250.csv,4,5,0.0022026676840478424
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001,0.01,1.2,0.6,0.000495,0.0063,../res/2025-01-15 11:53:35__250.csv,4,5,0.002332153627231652
250,10,matrix_conceptor,400,10,200,100,3000,500,0.00011,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0018808245485467125
250,10,matrix_conceptor,400,10,200,100,3000,500,9e-05,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.002007968422004182
250,10,matrix_conceptor,400,10,200,100,3000,500,9.900000000000001e-05,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.001956640768751766
250,10,matrix_conceptor,400,10,200,100,3000,500,0.0001089,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0019507139142130956
250,10,matrix_conceptor,400,10,200,100,3000,500,0.00011979,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0028113663144923675
250,10,matrix_conceptor,440.0,10,200,100,3000,500,0.00011979,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.002334660286060106
250,10,matrix_conceptor,360.0,10,200,100,3000,500,0.00011979,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0021058595486924438
250,10,matrix_conceptor,400,11.0,200,100,3000,500,0.00011979,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.002111112973214297
250,10,matrix_conceptor,400,9.0,200,100,3000,500,0.00011979,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0027039125082791273
250,10,matrix_conceptor,400,10,220.0,100,3000,500,0.00011979,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0021071636262997634
250,10,matrix_conceptor,400,10,180.0,100,3000,500,0.00011979,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0019618557438823925
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.001978225299957811
250,10,matrix_conceptor,400,10,162.0,110.0,3000,500,0.00011979,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.00202137710687871
250,10,matrix_conceptor,400,10,162.0,90.0,3000,500,0.00011979,0.01,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.002078679111728784
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.0125,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.00201085241883795
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.0075,1.2,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0021264612532966983
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.25,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.002227083094797497
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.15,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.001962482721804561
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0020142419211982873
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.65,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.002049203843737318
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.5499999999999999,0.000495,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0021083729186287203
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.0005445,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0019356464319354484
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.0004455,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.002149612196424206
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.00040094999999999996,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.001954103060576427
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0020440423786534058
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.0077,../res/2025-01-15 11:53:35__250.csv,4,5,0.002370748508207082
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.0063,../res/2025-01-15 11:53:35__250.csv,4,5,0.002047612932496311
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.000131769,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0020533953274954144
250,10,matrix_conceptor,400,10,162.0,100,3000,500,0.000107811,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0020286154398540196
250,10,matrix_conceptor,440.0,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0021466734319196233
250,10,matrix_conceptor,360.0,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.001973897832562196
250,10,matrix_conceptor,324.0,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0019722173973162754
250,10,matrix_conceptor,291.6,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0019289693492736616
250,10,matrix_conceptor,262.44,10,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.002125286671069348
250,10,matrix_conceptor,262.44,11.0,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0018460469942145363
250,10,matrix_conceptor,262.44,9.0,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0018910618599757092
250,10,matrix_conceptor,262.44,8.1,162.0,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.001980668640711078
250,10,matrix_conceptor,262.44,8.1,178.2,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0019416068484849683
250,10,matrix_conceptor,262.44,8.1,145.8,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.001970566077850261
250,10,matrix_conceptor,262.44,8.1,160.38000000000002,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0019569852332625343
250,10,matrix_conceptor,262.44,8.1,176.41800000000003,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0019479588278807154
250,10,matrix_conceptor,262.44,8.1,194.05980000000005,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0019444966119451929
250,10,matrix_conceptor,262.44,8.1,213.46578000000005,100,3000,500,0.00011979,0.01,1.0999999999999999,0.6,0.000360855,0.007,../res/2025-01-15 11:53:35__250.csv,4,5,0.0020709762056644785
