N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,630.957344480193,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,0.00011,0.0005,../res/2025-01-24 11:13:55__500.csv,3,5,0.0031564211270560015
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,630.957344480193,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,9e-05,0.0005,../res/2025-01-24 11:13:55__500.csv,3,5,0.0022012811335330603
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,630.957344480193,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.0005,../res/2025-01-24 11:13:55__500.csv,3,5,0.0028079364725698834
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,630.957344480193,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.00055,../res/2025-01-24 11:13:55__500.csv,3,5,0.0020731601609486755
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,630.957344480193,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.00045,../res/2025-01-24 11:13:55__500.csv,3,5,0.0024781790514952122
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,630.957344480193,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.000405,../res/2025-01-24 11:13:55__500.csv,3,5,0.0020714690310344444
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,630.957344480193,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.00036449999999999997,../res/2025-01-24 11:13:55__500.csv,3,5,0.0023874015265177907
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,630.957344480193,398.1071705534973,1258.9254117941675,1000,1900,500,0.00011,0.01,1.2,0.6,0.4,8.1e-05,0.00036449999999999997,../res/2025-01-24 11:13:55__500.csv,3,5,0.0023403166365056787
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,630.957344480193,398.1071705534973,1258.9254117941675,1000,1900,500,9e-05,0.01,1.2,0.6,0.4,8.1e-05,0.00036449999999999997,../res/2025-01-24 11:13:55__500.csv,3,5,0.002592006163389968
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,788.6966806002413,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.00036449999999999997,../res/2025-01-24 11:13:55__500.csv,3,5,0.0022534176906233677
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,473.2180083601447,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.00036449999999999997,../res/2025-01-24 11:13:55__500.csv,3,5,0.0023114532062717113
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,354.91350627010854,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.00036449999999999997,../res/2025-01-24 11:13:55__500.csv,3,5,0.002223562252392405
500,1,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,266.18512970258143,398.1071705534973,1258.9254117941675,1000,1900,500,0.0001,0.01,1.2,0.6,0.4,8.1e-05,0.00036449999999999997,../res/2025-01-24 11:13:55__500.csv,3,5,0.0024650140245238454
