N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,bias,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,0.4,0.00011,0.0005,../res/2025-01-23 16:19:39__500.csv,2,5,0.002469305834877855
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,0.4,9e-05,0.0005,../res/2025-01-23 16:19:39__500.csv,2,5,0.002206792985863168
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.00055,../res/2025-01-23 16:19:39__500.csv,2,5,0.002087192528237706
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.00045,../res/2025-01-23 16:19:39__500.csv,2,5,0.0018945831921930727
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001,0.01,1.2,0.8,0.4,0.0001,0.000405,../res/2025-01-23 16:19:39__500.csv,2,5,0.0019761715909284256
500,1,matrix_conceptor,50,20,35,20,3000,500,0.00011,0.01,1.2,0.8,0.4,0.0001,0.000405,../res/2025-01-23 16:19:39__500.csv,2,5,0.001981473668962917
500,1,matrix_conceptor,50,20,35,20,3000,500,9e-05,0.01,1.2,0.8,0.4,0.0001,0.000405,../res/2025-01-23 16:19:39__500.csv,2,5,0.002098534143272894
500,1,matrix_conceptor,50,20,35,20,3000,500,9.900000000000001e-05,0.01,1.2,0.8,0.4,0.0001,0.000405,../res/2025-01-23 16:19:39__500.csv,2,5,0.0020206344403574526
500,1,matrix_conceptor,50,20,35,20,3000,500,0.0001089,0.01,1.2,0.8,0.4,0.0001,0.000405,../res/2025-01-23 16:19:39__500.csv,2,5,0.0022118997550469055
500,1,matrix_conceptor,55.0,20,35,20,3000,500,0.0001089,0.01,1.2,0.8,0.4,0.0001,0.000405,../res/2025-01-23 16:19:39__500.csv,2,5,0.0020458797751475325
