N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
500,1,matrix_conceptor,48,15,35,18,3000,500,0.00011,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.003594533570221956
500,1,matrix_conceptor,48,15,35,18,3000,500,9e-05,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0041538994190575855
500,1,matrix_conceptor,48,15,35,18,3000,500,9.900000000000001e-05,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.003336872343849338
500,1,matrix_conceptor,48,15,35,18,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0038588852066114314
500,1,matrix_conceptor,52.8,15,35,18,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.003992803014616982
500,1,matrix_conceptor,43.2,15,35,18,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.004326452847841819
500,1,matrix_conceptor,48,16.5,35,18,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.003751922936498018
500,1,matrix_conceptor,48,13.5,35,18,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0033921315254129085
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.003626233032824169
500,1,matrix_conceptor,48,12.15,38.5,18,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0037615148937947414
500,1,matrix_conceptor,48,12.15,31.5,18,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0035003906658814567
500,1,matrix_conceptor,48,12.15,35,19.8,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.003362495017764236
500,1,matrix_conceptor,48,12.15,35,16.2,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0036488965535246263
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.011,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0032618790494519058
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.009000000000000001,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0037271401215901627
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.01,1.25,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.003413425927663342
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.01,1.15,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0033504962997456577
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.01,1.2,0.9,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0028793912382367977
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.01,1.2,0.7000000000000001,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.004261874393285493
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.01,1.2,0.8,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0034779521034272545
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.01,1.2,0.9,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.003065136683381942
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.01,1.2,1.0,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0026591615769819693
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.01,1.2,1.1,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.002516566346072507
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.0001089,0.01,1.2,1.2000000000000002,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0025202580942919528
500,1,matrix_conceptor,48,12.15,35,18,3000,500,0.00011979,0.01,1.2,1.2000000000000002,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.002307612478412005
500,1,matrix_conceptor,48,12.15,35,18,3000,500,9.801e-05,0.01,1.2,1.2000000000000002,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.002320259411818803
500,1,matrix_conceptor,48,12.15,35,18,3000,500,8.820900000000001e-05,0.01,1.2,1.2000000000000002,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0024283933903204856
500,1,matrix_conceptor,52.8,12.15,35,18,3000,500,8.820900000000001e-05,0.01,1.2,1.2000000000000002,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0024270186917003966
500,1,matrix_conceptor,43.2,12.15,35,18,3000,500,8.820900000000001e-05,0.01,1.2,1.2000000000000002,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0022432062464956787
500,1,matrix_conceptor,48,13.365,35,18,3000,500,8.820900000000001e-05,0.01,1.2,1.2000000000000002,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0024955279395431794
500,1,matrix_conceptor,48,10.935,35,18,3000,500,8.820900000000001e-05,0.01,1.2,1.2000000000000002,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0023429327925761885
500,1,matrix_conceptor,48,12.15,38.5,18,3000,500,8.820900000000001e-05,0.01,1.2,1.2000000000000002,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0021836871019936454
500,1,matrix_conceptor,48,12.15,31.5,18,3000,500,8.820900000000001e-05,0.01,1.2,1.2000000000000002,0.0001,0.0005,../res/2025-01-23 11:52:03__500.csv,3,10,0.0022792987540505723
