N,M,rfc_type,aperture_rossler_attractor,aperture_lorenz_attractor,aperture_mackey_glass,aperture_henon_attractor,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,experiment_name,cycles,n_rep,nrmse
250,10,matrix_conceptor,400,500,600,600,3000,500,0.001,0.01,1.2,0.6,5.5e-05,0.007,../res/2025-01-15 12:53:04__250.csv,4,5,0.00425031091277995
250,10,matrix_conceptor,400,500,600,600,3000,500,0.001,0.01,1.2,0.6,4.5e-05,0.007,../res/2025-01-15 12:53:04__250.csv,4,5,0.0025596264749030437
250,10,matrix_conceptor,400,500,600,600,3000,500,0.001,0.01,1.2,0.6,4.05e-05,0.007,../res/2025-01-15 12:53:04__250.csv,4,5,0.00333108335544118
250,10,matrix_conceptor,400,500,600,600,3000,500,0.001,0.01,1.2,0.6,4.05e-05,0.0077,../res/2025-01-15 12:53:04__250.csv,4,5,0.00399118140731952
250,10,matrix_conceptor,400,500,600,600,3000,500,0.001,0.01,1.2,0.6,4.05e-05,0.0063,../res/2025-01-15 12:53:04__250.csv,4,5,0.0031295199731590437
250,10,matrix_conceptor,400,500,600,600,3000,500,0.001,0.01,1.2,0.6,4.05e-05,0.00567,../res/2025-01-15 12:53:04__250.csv,4,5,0.0027107304070615817
250,10,matrix_conceptor,400,500,600,600,3000,500,0.001,0.01,1.2,0.6,4.05e-05,0.005103,../res/2025-01-15 12:53:04__250.csv,4,5,0.005389217299004823
250,10,matrix_conceptor,400,500,600,600,3000,500,0.0011,0.01,1.2,0.6,4.05e-05,0.005103,../res/2025-01-15 12:53:04__250.csv,4,5,0.0033802895311984015
250,10,matrix_conceptor,400,500,600,600,3000,500,0.0009,0.01,1.2,0.6,4.05e-05,0.005103,../res/2025-01-15 12:53:04__250.csv,4,5,0.0028082704839783113
250,10,matrix_conceptor,400,500,600,600,3000,500,0.00081,0.01,1.2,0.6,4.05e-05,0.005103,../res/2025-01-15 12:53:04__250.csv,4,5,0.004233296397578917
250,10,matrix_conceptor,500.0,500,600,600,3000,500,0.00081,0.01,1.2,0.6,4.05e-05,0.005103,../res/2025-01-15 12:53:04__250.csv,4,5,0.004142019238490608
250,10,matrix_conceptor,300.0,500,600,600,3000,500,0.00081,0.01,1.2,0.6,4.05e-05,0.005103,../res/2025-01-15 12:53:04__250.csv,4,5,0.003012994367521235
250,10,matrix_conceptor,225.0,500,600,600,3000,500,0.00081,0.01,1.2,0.6,4.05e-05,0.005103,../res/2025-01-15 12:53:04__250.csv,4,5,0.00409448795732788
250,10,matrix_conceptor,225.0,625.0,600,600,3000,500,0.00081,0.01,1.2,0.6,4.05e-05,0.005103,../res/2025-01-15 12:53:04__250.csv,4,5,0.00301137019401924
250,10,matrix_conceptor,225.0,375.0,600,600,3000,500,0.00081,0.01,1.2,0.6,4.05e-05,0.005103,../res/2025-01-15 12:53:04__250.csv,4,5,0.004267737772542208
250,10,matrix_conceptor,225.0,468.75,600,600,3000,500,0.00081,0.01,1.2,0.6,4.05e-05,0.005103,../res/2025-01-15 12:53:04__250.csv,4,5,0.004282513621358225
