N,M,rfc_type,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,n_adapt,washout,beta_W,beta_W_out,W_in_std,W_sr,noise_std,signal_noise,bias,experiment_name,cycles,n_rep,nrmse
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00033,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.0025371917586443945
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00026999999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.0025854813951305873
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00024299999999999994,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.0023052990846461298
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.002551518180497204
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00021869999999999995,0.0076230000000000004,0.4,../res/matrix_conceptor_500.csv,3,5,0.0026355771861597778
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00021869999999999995,0.006237,0.4,../res/matrix_conceptor_500.csv,3,5,0.002508893210813863
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,0.00011,0.01,1.2,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.002692383399781387
500,500,matrix_conceptor,630.957344480193,398.1071705534973,1258.9254117941675,1000,3000,500,9e-05,0.01,1.2,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.002993822533485427
500,500,matrix_conceptor,757.1488133762316,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.0025920732169207087
500,500,matrix_conceptor,504.7658755841544,398.1071705534973,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.0026424343161332775
500,500,matrix_conceptor,630.957344480193,477.7286046641968,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.0024856395613761014
500,500,matrix_conceptor,630.957344480193,318.4857364427979,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.0026492205857799435
500,500,matrix_conceptor,630.957344480193,254.7885891542383,1258.9254117941675,1000,3000,500,0.0001,0.01,1.2,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.0030265160814732074
500,500,matrix_conceptor,630.957344480193,254.7885891542383,1510.710494153001,1000,3000,500,0.0001,0.01,1.2,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.002695961408677793
500,500,matrix_conceptor,630.957344480193,254.7885891542383,1007.140329435334,1000,3000,500,0.0001,0.01,1.2,0.6,0.00021869999999999995,0.00693,0.4,../res/matrix_conceptor_500.csv,3,5,0.0028270346387669044
