n_harvest,washout,beta_W_out,beta_G,beta_D,aperture_rossler_attractor_2d,aperture_lorenz_attractor_2d,aperture_mackey_glass_2d,aperture_henon_attractor_2d,spectral_radius,N,M,n_adapt,W_sparseness,d_dim,F_method,signal_dim,G_method,noise_mean,noise_std,signal_noise,rfc_type,max_n_features,verbose,W_in_std,W_sr,experiment_name,cycles,n_rep,nrmse
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00042366606723045,0.00567,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.002394259188928959
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00034663587318855,0.00567,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0022735826943404217
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,750,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00042366606723045,0.00567,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.002212479184325718
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.0062369999999999995,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0020147269166101212
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.005103,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0026282263848355163
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,750,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00034663587318855,0.00567,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0021802668213556863
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.0056133,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0022962088407544033
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,1000,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.00042366606723045,0.00567,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0024021408189577433
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.0061746299999999995,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.002203665106793061
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,750,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.000311972285869695,0.00567,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.003188426564810925
3000,500,0.0084375,0.2598156,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.0023258811363454164
3000,500,0.0084375,0.28579716,1.6685485839843752e-05,31.492800000000003,22.68,14.348907,14.289858,1.1,250,500,3000,0.1,reservoir_dim,patterns,2,W_F,0,0.0003851509702095,0.006792092999999999,PCARFC,50.0,False,1.2499999999999998,1.25,../res/PCARFC_250_laat.csv,3,3,0.002216429517822776
